¹	D7 D6 D5 D4 D3 D2 D1 D0 HEX
86	1  1  0  0  0  1  1  0  0xC6
87	1  1  0  1  0  1  1  0  0xD6
88	0  0  0  0  1  1  0  1  0x0D
89	1  0  0  1  1  1  1  0  0x9E
90	1  1  1  1  1  0  0  0  0xF8
91	1  1  0  1  1  0  1  0  0xDA
92	1  0  0  1  0  1  1  0  0x96
93	0  1  1  0  0  1  1  1  0x67
94	1  1  1  0  1  1  0  1  0xED
95	1  0  0  0  1  1  0  0  0x8C
96	0  0  0  0  0  0  0  1  0x01
97	0  1  0  1  1  0  1  0  0x5A
98	0  0  1  0  1  0  1  1  0x2B
99	0  0  0  0  0  1  1  1  0x07
100	0  1  0  1  0  1  1  1  0x57
101	1  0  1  0  1  0  1  1  0xAB
102	1  1  1  1  1  1  0  0  0xFC
103	0  0  1  0  0  1  0  1  0x25
104	1  1  1  0  1  1  0  1  0xED
105	0  0  0  1  0  0  0  0  0x10
106	0  1  0  1  0  0  0  0  0x50
107	0  0  0  1  0  0  0  0  0x10
108	0  1  1  0  0  0  1  0  0x62
109	1  1  1  0  0  1  1  0  0xE6
110	1  1  0  1  0  0  1  1  0xD3
111	0  0  0  0  0  1  1  0  0x06
112	1  1  0  1  1  0  0  1  0xD9
113	1  0  1  0  0  0  1  0  0xA2
114	0  1  0  0  1  1  1  1  0x4F
115	0  1  1  0  1  1  0  0  0x6C
116	0  1  1  1  1  0  0  0  0x78
117	0  1  1  1  1  0  1  1  0x7B
118	0  1  0  0  0  1  0  0  0x44
119	0  0  0  1  0  1  1  0  0x16
120	0  0  1  0  0  0  0  1  0x21
121	0  1  0  1  0  1  1  0  0x56
122	1  1  0  0  0  1  0  1  0xC5
123	1  1  0  1  0  1  0  1  0xD5
124	0  1  1  1  0  0  0  0  0x70
125	1  1  1  1  0  0  0  1  0xF1
126	1  0  0  1  0  1  0  1  0x95
127	0  1  0  0  0  0  1  0  0x42
128	1  1  1  1  0  1  0  1  0xF5
129	0  1  0  1  0  1  0  0  0x54
130	1  0  0  0  0  0  1  1  0x83
131	1  1  0  0  1  0  1  1  0xCB
132	1  0  1  1  0  0  1  1  0xB3
133	0  1  1  1  0  1  0  1  0x75
134	0  0  0  0  0  0  1  1  0x03
135	1  1  1  1  1  0  1  1  0xFB
136	1  1  0  1  1  0  0  1  0xD9
137	0  0  1  0  1  0  1  0  0x2A
138	0  0  0  0  1  1  1  0  0x0E
139	0  0  0  0  1  1  1  0  0x0E
140	1  0  1  1  1  1  1  1  0xBF
141	0  1  0  1  0  1  0  1  0x55
142	0  0  1  1  1  0  1  1  0x3B
143	1  0  1  1  0  1  0  1  0xB5
144	0  0  1  0  0  1  0  0  0x24
145	0  1  0  0  1  0  1  0  0x4A
146	0  0  0  1  1  1  1  0  0x1E
147	0  0  1  0  0  1  1  0  0x26
148	1  0  1  0  0  1  1  0  0xA6
149	1  0  0  0  0  1  0  0  0x84
150	1  1  1  0  0  0  0  1  0xE1
151	0  1  1  0  0  1  1  1  0x67
152	1  0  0  0  0  0  1  1  0x83
153	1  0  0  0  1  0  0  1  0x89
154	0  0  1  0  0  0  1  0  0x22
155	1  1  0  1  1  1  0  0  0xDC
156	1  0  0  0  1  1  1  1  0x8F
157	0  0  0  1  1  0  1  0  0x1A
158	0  0  0  0  1  1  0  0  0x0C
159	0  0  0  1  0  0  0  0  0x10
160	0  1  1  1  0  1  0  1  0x75
161	1  0  1  0  0  0  0  0  0xA0
162	1  0  1  1  1  0  0  0  0xB8
163	1  1  0  0  0  0  0  0  0xC0
164	0  0  1  1  0  0  1  0  0x32
165	1  1  0  1  0  0  1  1  0xD3
166	1  1  0  0  0  1  1  0  0xC6
167	0  0  1  0  1  1  1  0  0x2E
168	1  1  0  0  1  1  1  0  0xCE
169	1  0  1  0  1  1  0  1  0xAD
170	0  0  1  1  0  1  1  1  0x37
171	1  0  1  0  0  1  0  0  0xA4
172	0  1  0  1  1  1  0  1  0x5D
173	1  0  0  0  1  1  1  0  0x8E
174	1  0  0  0  1  1  1  0  0x8E
175	0  1  0  0  0  1  1  0  0x46
176	0  0  1  1  0  1  1  1  0x37
177	1  0  1  1  0  0  0  0  0xB0
178	0  0  1  0  0  1  1  1  0x27
179	0  0  0  1  1  1  0  1  0x1D
180	0  1  1  1  0  1  0  0  0x74
181	1  1  0  0  1  1  1  0  0xCE
182	1  1  0  1  0  1  1  1  0xD7
183	0  1  1  0  0  0  0  1  0x61
184	1  0  1  0  1  0  1  0  0xAA
185	0  0  0  1  0  0  0  0  0x10
186	1  1  0  0  0  1  0  1  0xC5
187	0  0  0  0  0  1  1  1  0x07
188	1  1  1  0  1  0  1  0  0xEA
189	0  0  1  1  1  0  1  1  0x3B
190	1  0  0  0  1  0  0  1  0x89
191	1  0  0  0  1  0  1  1  0x8B
192	1  1  1  1  1  0  0  1  0xF9
193	0  0  0  1  0  1  1  0  0x16
194	1  0  0  0  0  0  1  1  0x83
195	1  1  1  1  1  1  1  1  0xFF
196	1  1  0  0  1  0  1  1  0xCB
197	0  0  0  1  1  1  1  1  0x1F
198	0  1  1  1  1  1  0  1  0x7D
199	0  1  0  1  0  1  0  1  0x55
200	0  1  0  0  0  1  1  0  0x46
201	0  1  1  0  1  1  1  1  0x6F
202	1  0  0  0  0  1  0  0  0x84
203	1  1  1  0  1  0  0  1  0xE9
204	0  0  1  1  0  1  0  0  0x34
205	1  1  1  0  1  0  1  1  0xEB
206	0  0  0  0  0  0  1  1  0x03
207	0  1  0  1  0  0  1  0  0x52
208	1  0  0  0  1  0  0  1  0x89
209	1  0  1  0  1  1  0  1  0xAD
210	0  0  1  0  0  0  0  1  0x21
211	0  1  1  0  1  0  1  0  0x6A
212	1  1  0  1  1  0  0  0  0xD8
213	1  0  1  1  0  0  0  1  0xB1
214	0  1  0  1  1  1  1  0  0x5E
215	1  0  0  1  1  0  1  1  0x9B
216	0  0  0  1  0  0  0  0  0x10
217	1  1  0  0  0  1  0  0  0xC4
218	0  1  1  0  1  0  0  1  0x69
219	0  1  1  0  1  1  0  1  0x6D
220	0  1  1  1  1  0  1  1  0x7B
221	1  0  1  0  1  0  1  0  0xAA
222	0  1  0  0  0  1  0  0  0x44
223	0  1  0  0  1  1  0  1  0x4D
224	1  1  1  1  1  0  0  0  0xF8
225	1  0  0  0  1  1  1  1  0x8F
226	1  0  0  1  1  0  1  0  0x9A
227	1  0  1  0  0  0  0  0  0xA0
228	0  1  1  1  1  0  0  0  0x78
229	1  0  1  1  0  0  0  0  0xB0
230	0  1  1  0  0  0  0  0  0x60
231	0  0  0  0  1  0  0  0  0x08
232	1  0  1  1  0  1  1  1  0xB7
233	0  1  0  0  1  0  1  0  0x4A
234	1  0  1  0  1  1  0  0  0xAC
235	1  1  1  1  0  1  1  0  0xF6
236	0  0  1  1  1  1  0  0  0x3C
237	1  1  0  0  0  0  1  1  0xC3
238	1  1  0  1  0  0  1  0  0xD2
239	0  1  1  1  0  0  0  0  0x70
240	1  0  0  1  0  1  0  0  0x94
241	0  0  0  1  0  1  1  1  0x17
242	1  1  0  0  0  1  0  1  0xC5
243	0  0  1  0  0  1  0  0  0x24
244	1  1  0  0  1  0  1  0  0xCA
245	1  0  0  0  0  1  1  0  0x86
246	1  0  1  0  1  1  0  0  0xAC
247	1  0  1  0  1  1  1  0  0xAE
248	0  0  1  0  1  0  1  1  0x2B
249	0  1  1  1  1  1  0  0  0x7C
250	1  1  0  0  0  0  1  1  0xC3
251	0  0  1  0  0  1  1  0  0x26
252	0  0  1  1  1  0  0  0  0x38
253	1  1  0  0  0  0  0  0  0xC0
254	0  1  1  1  0  1  0  1  0x75
255	1  1  1  0  1  1  1  0  0xEE
256	1  1  1  0  1  0  1  1  0xEB
257	1  1  1  0  0  0  0  1  0xE1
258	1  0  1  1  1  0  0  0  0xB8
259	1  0  1  1  1  0  1  0  0xBA
260	0  0  1  0  1  1  1  1  0x2F
261	1  1  0  1  1  1  1  0  0xDE
262	1  0  1  0  1  0  0  0  0xA8
263	1  1  1  0  0  0  0  0  0xE0
264	1  0  0  1  1  0  1  0  0x9A
265	0  0  0  1  0  1  0  0  0x14
266	0  1  1  0  0  1  1  1  0x67
267	1  1  1  0  0  0  1  0  0xE2
268	0  1  1  0  1  1  0  1  0x6D
269	0  1  1  0  1  1  0  1  0x6D
270	0  0  1  1  0  1  0  0  0x34
271	0  0  1  1  1  0  0  1  0x39
272	1  1  0  0  1  1  1  0  0xCE
273	1  1  0  0  0  1  1  1  0xC7
274	1  1  0  0  1  0  1  0  0xCA
275	0  1  1  0  0  1  0  0  0x64
276	0  1  0  0  0  1  0  0  0x44
277	1  0  1  0  0  0  1  1  0xA3
278	1  1  1  1  1  0  1  1  0xFB
279	0  0  1  1  0  0  1  0  0x32
280	0  1  1  1  0  1  0  0  0x74
281	0  0  0  0  1  1  1  1  0x0F
282	1  0  0  0  1  1  0  1  0x8D
283	0  1  0  0  1  1  0  0  0x4C
284	0  0  0  1  1  0  1  0  0x1A
285	1  1  0  1  0  1  0  1  0xD5
286	0  1  0  1  0  1  0  1  0x55
287	0  0  0  0  0  1  0  1  0x05
288	0  1  0  0  1  0  1  0  0x4A
289	1  1  1  0  0  1  0  1  0xE5
290	1  0  0  1  0  0  1  0  0x92
291	0  1  1  0  0  1  1  0  0x66
292	1  1  1  0  1  0  0  1  0xE9
293	0  0  0  0  0  0  0  0  0x00
294	1  0  0  0  1  1  0  0  0x8C
295	0  1  1  1  0  1  0  1  0x75
296	0  1  1  0  0  1  1  1  0x67
297	1  0  1  0  0  1  1  1  0xA7
298	0  1  1  0  1  1  0  1  0x6D
299	1  1  0  0  0  1  1  0  0xC6
300	1  0  1  1  1  1  1  0  0xBE
301	0  1  0  0  0  0  1  1  0x43
302	0  1  1  0  0  0  0  0  0x60
303	0  1  0  0  0  1  0  1  0x45
304	1  0  1  1  0  0  0  0  0xB0
305	1  0  0  1  0  1  1  0  0x96
306	1  1  1  0  1  0  0  0  0xE8
307	0  1  0  0  0  0  1  0  0x42
308	0  0  1  1  1  1  0  0  0x3C
309	0  1  1  0  0  0  0  1  0x61
310	1  0  0  0  0  0  1  0  0x82
311	1  0  1  1  1  1  1  0  0xBE
312	0  1  1  0  0  0  1  0  0x62
313	0  1  0  1  0  1  1  1  0x57
314	0  1  1  1  1  1  1  0  0x7E
315	1  1  1  1  0  1  0  0  0xF4
316	0  0  0  1  1  0  0  1  0x19
317	0  1  0  0  0  0  1  0  0x42
318	0  0  0  1  1  0  1  1  0x1B
319	0  0  1  0  1  0  1  1  0x2B
320	1  0  0  0  1  1  0  1  0x8D
321	0  1  1  1  0  1  0  0  0x74
322	1  1  1  0  0  0  1  0  0xE2
323	1  0  1  1  1  0  1  1  0xBB
324	1  0  0  1  1  1  1  0  0x9E
325	0  1  1  1  0  0  0  0  0x70
326	0  1  0  0  0  1  0  0  0x44
327	0  1  0  1  1  1  1  0  0x5E
328	1  0  0  1  0  1  0  1  0x95
329	1  1  0  1  1  0  1  0  0xDA
330	0  1  1  1  0  1  1  1  0x77
331	1  0  1  1  1  0  1  0  0xBA
332	0  0  1  0  1  0  0  1  0x29
333	1  0  0  1  1  1  0  0  0x9C
334	1  0  0  0  1  1  1  0  0x8E
335	0  0  1  0  1  0  1  1  0x2B
336	1  0  1  1  0  0  1  0  0xB2
337	0  1  0  1  1  0  1  0  0x5A
338	1  1  0  1  0  1  1  1  0xD7
339	1  1  0  1  0  1  0  1  0xD5
340	1  0  1  0  1  1  0  0  0xAC
341	0  0  0  1  1  0  0  1  0x19
342	0  1  1  1  1  0  1  0  0x7A
343	1  1  1  0  1  0  1  0  0xEA
344	0  1  1  0  1  1  1  1  0x6F
345	0  0  1  0  1  0  1  1  0x2B
346	0  1  0  0  1  1  1  1  0x4F
347	0  0  1  1  1  0  0  1  0x39
348	0  0  1  0  1  1  0  1  0x2D
349	0  1  0  1  1  1  0  1  0x5D
350	1  1  1  1  1  1  1  1  0xFF
351	1  1  1  1  1  0  0  0  0xF8
352	0  0  1  0  1  1  0  0  0x2C
353	0  1  1  0  0  1  0  0  0x64
354	0  1  0  1  1  1  1  1  0x5F
355	1  1  0  1  0  0  1  0  0xD2
356	0  1  0  0  0  1  0  1  0x45
357	1  0  0  0  0  1  0  1  0x85
358	0  0  0  0  1  0  0  1  0x09
359	0  0  1  1  0  1  0  0  0x34
360	1  0  0  1  1  1  1  0  0x9E
361	1  0  0  0  0  1  0  1  0x85
362	0  0  1  1  1  1  0  0  0x3C
363	1  1  0  1  0  1  0  1  0xD5
364	1  0  1  0  0  1  0  0  0xA4
365	1  1  0  1  0  0  0  0  0xD0
366	1  1  1  1  0  1  1  0  0xF6
367	1  0  0  0  0  1  0  0  0x84
368	0  1  0  0  1  0  1  1  0x4B
369	1  1  1  0  1  1  0  1  0xED
370	0  1  0  1  0  0  0  0  0x50
371	0  0  1  1  0  1  1  0  0x36
372	1  0  0  0  1  0  1  0  0x8A
373	0  0  1  0  0  0  0  1  0x21
374	0  0  0  1  1  0  1  0  0x1A
375	0  1  0  0  1  1  1  1  0x4F
376	0  0  0  1  0  0  0  1  0x11
377	0  1  1  0  0  0  1  0  0x62
378	1  0  1  1  0  1  1  1  0xB7
379	0  0  1  1  0  0  0  1  0x31
380	0  1  0  0  1  1  0  1  0x4D
381	1  0  0  0  0  0  0  0  0x80
382	0  0  1  1  1  0  1  0  0x3A
383	0  0  0  0  0  0  1  1  0x03
384	1  0  0  1  1  1  1  1  0x9F
385	1  0  0  0  1  1  1  1  0x8F
386	1  1  0  0  0  0  0  1  0xC1
387	1  1  0  0  0  0  1  1  0xC3
388	1  1  0  1  1  0  0  0  0xD8
389	1  0  0  1  0  1  1  1  0x97
390	0  0  0  1  0  0  1  0  0x12
391	1  0  0  0  1  1  1  1  0x8F
392	1  1  1  1  1  0  0  0  0xF8
393	0  1  1  1  1  1  1  1  0x7F
394	0  1  1  1  0  1  0  1  0x75
395	0  0  1  0  1  1  1  1  0x2F
396	0  0  1  0  1  0  0  0  0x28
397	0  0  1  1  0  1  1  1  0x37
398	1  1  0  1  0  0  0  1  0xD1
399	1  1  1  0  0  1  1  1  0xE7
400	1  1  1  1  0  1  0  1  0xF5
401	0  0  1  0  0  1  0  1  0x25
402	0  0  0  0  1  0  1  0  0x0A
403	0  1  1  1  1  1  0  0  0x7C
404	1  1  0  0  1  1  1  1  0xCF
405	1  1  0  1  0  0  1  1  0xD3
406	1  0  0  1  1  0  1  0  0x9A
407	1  0  0  0  0  1  0  1  0x85
408	1  1  0  0  0  0  0  1  0xC1
409	1  1  0  1  0  1  1  0  0xD6
410	0  1  1  0  1  1  1  0  0x6E
411	1  1  1  1  0  1  0  0  0xF4
412	0  1  1  1  0  0  1  0  0x72
413	0  0  0  0  0  0  0  1  0x01
414	0  0  0  0  0  0  1  1  0x03
415	1  1  1  0  0  1  0  0  0xE4
416	0  1  0  1  1  1  0  1  0x5D
417	1  1  0  0  1  0  1  1  0xCB
418	1  1  0  0  0  0  0  1  0xC1
419	1  0  1  0  0  1  0  1  0xA5
420	0  1  0  0  1  1  0  1  0x4D
421	1  1  1  1  1  1  1  0  0xFE
422	1  0  0  1  0  1  1  1  0x97
423	0  0  0  0  0  1  1  0  0x06
424	0  0  0  1  1  1  0  0  0x1C
425	1  0  1  0  0  0  1  0  0xA2
426	1  1  0  1  1  0  0  1  0xD9
427	1  1  1  0  0  0  1  0  0xE2
428	1  0  1  0  1  1  0  0  0xAC
429	0  0  1  0  1  0  0  1  0x29
430	0  1  0  1  0  1  1  0  0x56
431	1  1  1  0  1  1  0  1  0xED
432	0  0  1  0  0  1  1  0  0x26
433	1  1  0  1  1  1  0  0  0xDC
434	1  0  1  1  1  1  0  1  0xBD
435	1  1  0  0  0  0  0  0  0xC0
436	0  1  1  1  0  0  1  0  0x72
437	1  0  0  0  0  1  0  1  0x85
438	0  0  1  1  0  0  1  0  0x32
439	0  0  1  0  0  0  1  1  0x23
440	1  1  1  1  0  1  1  1  0xF7
441	0  1  0  1  1  1  1  0  0x5E
442	0  0  1  0  1  1  0  0  0x2C
443	1  0  0  1  1  0  1  1  0x9B
444	1  0  0  1  0  1  0  1  0x95
445	0  0  1  1  1  0  1  0  0x3A
446	1  0  0  1  0  0  1  0  0x92
447	0  0  1  1  0  1  0  0  0x34
448	1  1  0  1  1  1  1  1  0xDF
449	1  1  1  1  0  0  1  0  0xF2
450	0  0  0  1  0  1  1  0  0x16
451	1  0  0  1  0  0  0  1  0x91
452	1  0  0  1  1  1  0  1  0x9D
453	0  0  0  1  0  0  1  1  0x13
454	1  1  0  1  0  0  0  1  0xD1
455	0  0  1  1  0  0  0  1  0x31
456	1  0  0  0  0  0  1  0  0x82
457	1  1  0  0  0  1  0  1  0xC5
458	0  0  1  0  0  0  0  0  0x20
459	0  0  0  0  0  0  1  1  0x03
460	0  0  1  0  1  0  1  0  0x2A
461	1  1  1  1  1  1  1  0  0xFE
462	1  0  1  1  1  1  1  0  0xBE
463	0  0  1  0  1  1  0  1  0x2D
464	0  1  0  1  0  1  1  1  0x57
465	1  1  1  0  1  0  0  1  0xE9
466	0  0  1  0  0  0  1  0  0x22
467	0  0  0  1  1  0  1  0  0x1A
468	0  1  1  0  1  1  0  1  0x6D
469	1  0  0  1  0  0  0  1  0x91
470	0  0  0  1  1  0  1  1  0x1B
471	1  1  0  0  0  0  1  0  0xC2
472	0  0  1  0  1  0  1  1  0x2B
473	1  1  0  1  0  0  1  0  0xD2
474	1  0  1  0  1  0  1  0  0xAA
475	0  0  1  1  1  1  1  0  0x3E
476	1  0  1  0  1  0  1  1  0xAB
477	1  0  0  0  0  0  1  0  0x82
478	0  0  1  0  0  0  0  0  0x20
479	1  0  0  0  1  0  1  1  0x8B
480	1  0  0  1  1  1  0  1  0x9D
481	1  1  0  1  1  0  1  1  0xDB
482	0  1  1  1  1  0  0  0  0x78
483	1  0  0  1  1  1  1  0  0x9E
484	1  1  0  0  0  0  0  0  0xC0
485	0  0  1  0  1  1  0  0  0x2C
486	1  1  1  1  0  1  1  1  0xF7
487	1  0  1  0  1  0  0  1  0xA9
488	1  0  1  0  0  0  1  0  0xA2
489	1  1  0  0  0  0  0  0  0xC0
490	0  0  0  0  0  0  1  0  0x02
491	1  0  1  0  1  1  0  1  0xAD
492	1  0  0  1  1  0  0  0  0x98
493	0  0  0  0  1  1  1  1  0x0F
494	0  0  1  1  1  1  1  1  0x3F
495	0  1  0  0  0  0  0  0  0x40
496	0  0  0  0  0  0  0  0  0x00
497	0  0  1  0  0  1  0  0  0x24
498	1  1  1  1  0  0  0  0  0xF0
499	1  0  1  0  0  0  0  1  0xA1
500	1  0  1  1  0  1  1  0  0xB6
501	0  1  0  0  1  1  1  0  0x4E
502	1  0  0  0  1  1  0  0  0x8C
503	1  1  1  1  1  0  0  1  0xF9
504	1  1  0  1  0  1  0  1  0xD5
505	0  0  0  0  1  0  1  0  0x0A
506	1  0  0  1  1  1  1  1  0x9F
507	1  1  1  1  0  1  0  0  0xF4
508	1  0  1  0  1  1  1  1  0xAF
509	0  0  1  1  0  0  0  0  0x30
510	1  1  1  0  0  1  0  0  0xE4
511	1  0  0  0  0  0  0  0  0x80
512	0  0  0  0  1  1  1  1  0x0F
513	0  1  0  1  1  1  1  0  0x5E
514	1  0  1  0  0  0  0  0  0xA0
515	1  1  1  0  0  1  0  1  0xE5
516	1  0  1  0  1  1  1  0  0xAE
517	1  0  1  0  0  0  1  0  0xA2
518	0  1  0  0  0  0  0  1  0x41
519	0  0  0  0  0  1  1  0  0x06
520	1  1  1  1  0  0  1  1  0xF3
521	0  1  1  0  1  0  1  1  0x6B
522	0  0  1  1  1  0  0  0  0x38
523	1  1  1  1  0  1  1  0  0xF6
524	1  1  1  0  1  1  1  1  0xEF
525	1  0  1  1  0  0  1  0  0xB2
526	0  0  0  1  0  0  1  1  0x13
527	1  0  1  1  1  1  1  0  0xBE
528	1  0  0  1  1  0  0  1  0x99
529	0  1  1  0  0  1  0  1  0x65
530	1  1  0  1  1  1  1  1  0xDF
531	0  1  1  0  1  1  0  1  0x6D
532	0  1  0  0  0  1  1  0  0x46
533	0  0  0  1  0  1  0  0  0x14
534	1  0  1  1  1  1  0  1  0xBD
535	0  1  1  0  0  0  0  1  0x61
536	0  1  1  0  1  1  0  0  0x6C
537	1  1  0  1  1  1  1  0  0xDE
538	1  1  0  0  0  0  1  1  0xC3
539	1  1  0  1  0  1  0  1  0xD5
540	1  0  0  1  1  0  0  0  0x98
541	1  0  0  1  1  1  1  0  0x9E
542	0  0  0  1  0  1  1  0  0x16
543	1  0  1  0  1  1  0  0  0xAC
544	1  0  1  0  1  1  0  1  0xAD
545	0  1  0  1  0  0  1  1  0x53
546	0  1  0  0  0  1  0  1  0x45
547	0  1  1  1  1  1  0  1  0x7D
548	0  1  0  1  1  1  1  0  0x5E
549	1  1  0  0  1  1  0  1  0xCD
550	1  1  1  0  1  0  0  0  0xE8
551	1  1  0  1  1  1  1  1  0xDF
552	1  1  1  0  1  1  1  0  0xEE
553	1  0  0  1  1  1  1  1  0x9F
554	0  1  1  1  1  0  0  1  0x79
555	1  1  1  1  0  1  1  0  0xF6
556	0  0  1  0  0  1  1  1  0x27
557	0  1  0  0  0  0  0  0  0x40
558	0  1  1  1  0  0  1  0  0x72
559	0  0  1  1  1  1  1  0  0x3E
560	1  0  0  1  1  0  0  1  0x99
561	1  0  0  0  0  0  1  1  0x83
562	1  0  1  0  1  0  0  0  0xA8
563	1  0  0  1  0  1  1  1  0x97
564	0  0  0  1  0  1  0  1  0x15
565	0  0  1  1  1  0  1  1  0x3B
566	1  1  1  0  0  1  1  1  0xE7
567	1  0  0  1  0  0  1  0  0x92
568	0  1  1  0  1  0  0  1  0x69
569	0  0  1  0  0  1  1  1  0x27
570	1  1  0  0  1  1  1  1  0xCF
571	1  1  1  1  1  0  1  1  0xFB
572	0  1  0  1  1  1  0  1  0x5D
573	0  0  1  0  0  0  1  1  0x23
574	1  1  1  0  1  1  1  0  0xEE
575	1  0  1  0  0  1  1  1  0xA7
576	1  1  1  0  1  1  1  0  0xEE
577	1  0  0  1  0  0  1  0  0x92
578	0  0  0  1  1  1  1  1  0x1F
579	0  1  1  1  1  1  1  1  0x7F
580	1  1  0  0  1  0  1  0  0xCA
581	0  0  0  0  0  1  1  0  0x06
582	0  0  1  0  0  0  1  1  0x23
583	1  1  0  0  1  1  0  1  0xCD
584	0  0  0  0  1  0  1  1  0x0B
585	0  0  1  1  0  0  1  0  0x32
586	0  1  1  1  1  1  0  1  0x7D
587	1  1  0  0  0  1  1  0  0xC6
588	0  0  1  1  1  0  0  0  0x38
589	0  0  0  1  0  0  1  0  0x12
590	1  0  0  1  0  0  1  0  0x92
591	0  1  0  1  1  0  0  1  0x59
592	0  1  1  1  1  0  1  0  0x7A
593	0  1  0  1  1  0  0  0  0x58
594	0  0  0  0  0  0  1  0  0x02
595	0  0  1  1  0  1  1  1  0x37
596	0  0  0  1  1  0  1  1  0x1B
597	0  0  0  1  1  0  1  0  0x1A
598	0  1  0  0  0  0  0  1  0x41
599	0  0  1  0  0  0  1  1  0x23
600	0  1  0  0  0  1  0  0  0x44
601	1  0  1  1  1  0  1  1  0xBB
602	0  1  1  1  1  0  1  0  0x7A
603	0  1  1  1  1  0  1  1  0x7B
604	1  1  1  1  0  1  1  1  0xF7
605	0  0  0  1  0  1  1  1  0x17
606	1  0  1  0  0  1  0  1  0xA5
607	0  0  0  0  1  0  0  0  0x08
608	0  1  0  0  1  0  1  1  0x4B
609	1  1  1  1  0  0  1  1  0xF3
610	1  1  1  0  0  1  1  1  0xE7
611	0  0  0  0  0  0  1  0  0x02
612	1  1  1  0  1  0  0  0  0xE8
613	1  0  1  0  0  0  1  1  0xA3
614	0  0  1  0  1  0  1  0  0x2A
615	0  1  1  0  0  1  1  1  0x67
